service,weekday,hour,avg_eta,eta_variability
106,4,6,12.418604651162791,10.46589144415946
106,4,12,19.206349206349206,11.461237238508694
106,4,13,19.492753623188406,10.384693470802276
106,4,21,22.444444444444443,11.367734903022537
106A,2,7,26.0,9.879271228182775
106A,2,8,11.681818181818182,6.342497357293317
107,2,6,19.478571428571428,12.551171722734345
107,2,7,16.988095238095237,11.586754015569953
107,2,9,16.87074829931973,10.633542244665676
107,2,10,16.626506024096386,11.98546970229867
107,2,12,21.099290780141843,13.394191152744963
107,2,13,21.073170731707318,13.22528488134426
107,2,15,16.962025316455698,12.420457729265822
107,2,16,13.071428571428571,14.652194824899551
107,2,17,22.272727272727273,14.37618312168864
107,2,19,17.68217054263566,11.727361500010902
107,3,4,38.125,4.389516732267589
107,3,5,26.71875,11.595659765482315
107,3,6,21.11111111111111,9.373425793759244
107,3,8,15.422535211267606,11.345211095599584
107,3,9,14.607142857142858,9.25803832710218
107,3,11,17.76027397260274,12.344092427370104
107,3,12,22.208333333333332,12.701266987926504
107,3,14,19.651515151515152,12.370233200813834
107,3,15,18.96,12.522887155233125
107,3,17,18.666666666666668,12.351214977301835
107,3,18,14.271428571428572,9.82443187658821
107,3,19,20.714285714285715,15.850491955712139
107,4,9,19.083333333333332,11.515571701326495
107,4,12,19.21917808219178,12.830353090471812
107,4,13,20.285714285714285,9.411239481143202
107M,1,18,17.77777777777778,12.043422485208794
107M,1,20,20.733870967741936,13.130433135455919
107M,1,21,20.857142857142858,13.100572506573902
107M,1,23,22.283333333333335,11.336294893875335
107M,2,19,36.666666666666664,4.1311822359545785
107M,2,20,22.574468085106382,12.195410185894536
107M,2,22,17.014492753623188,12.296807197767688
107M,2,23,16.72972972972973,9.109362243345057
107M,3,23,12.066666666666666,3.6540909885197106
107M,4,0,10.555555555555555,5.659308948783215
109,1,20,22.3781512605042,12.692578638141303
109,1,21,19.93076923076923,10.844345121265896
109,1,23,17.5,11.942692618364761
109,2,0,12.666666666666666,12.241166359712372
109,2,6,18.39269406392694,12.083089310928807
109,2,7,16.013333333333332,9.628916659522817
109,2,9,17.534246575342465,11.642469452211497
109,2,10,16.96153846153846,11.466014081108948
109,2,12,18.675675675675677,12.438329442173469
109,2,13,17.390625,12.120188498568728
109,2,15,21.666666666666668,10.64099474817882
109,2,16,18.574468085106382,12.268379739264
109,2,17,19.711111111111112,15.560179687882524
109,2,19,19.016129032258064,13.060555762543336
109,2,20,23.102040816326532,14.708621193537008
109,2,22,15.97278911564626,10.815986125461798
109,2,23,16.664,12.899077236313731
109,3,5,25.75,12.152440832269793
109,3,8,17.129186602870814,12.252455005513276
109,3,9,10.404761904761905,11.212056933214145
109,3,11,20.913875598086126,12.273025800973974
109,3,12,20.126436781609197,12.127045114221039
109,3,14,18.891156462585034,10.965780679628239
109,3,15,17.858974358974358,11.18146433825755
109,3,17,17.482758620689655,11.95715419686349
109,3,18,19.604166666666668,11.945319718461503
109,4,0,15.2,10.781929326423914
109,4,9,14.617283950617283,9.835608650757926
109,4,10,17.363636363636363,10.716825539792538
109,4,11,22.555555555555557,12.368621006502861
109,4,12,18.933333333333334,10.931399521355694
109A,2,19,18.595238095238095,11.998088310754332
109A,3,17,23.5,12.081513272887754
109A,3,18,20.916666666666668,15.198434927400394
10e,2,7,33.03125,7.341812973778034
10e,3,8,7.0,7.0710678118654755
10e,3,9,0.0,
10e,3,18,23.677966101694917,11.40997850940299
11,1,21,19.72093023255814,11.83080237466377
11,2,6,19.564102564102566,12.225501543462494
11,2,7,17.48148148148148,12.128702037127184
11,2,10,20.54237288135593,13.409109145109488
11,2,13,19.614035087719298,13.457279477194424
11,2,16,20.214285714285715,13.093668540334898
11,2,19,19.54054054054054,12.321152982201413
11,2,20,19.08,13.031756085296665
11,2,23,15.304347826086957,11.984934181838263
11,3,5,31.17241379310345,6.949146738563565
11,3,8,18.081967213114755,12.562238497400601
11,3,12,20.350877192982455,12.911084977189969
11,3,15,19.557377049180328,14.08607419896679
11,3,18,19.09090909090909,12.035495289066702
11,4,11,19.294117647058822,13.194418957351
11,4,12,23.38095238095238,10.195470516244898
110,1,20,15.123076923076923,12.811747163623524
110,1,21,10.083333333333334,7.767919908839492
110,1,23,11.0,8.54400374531753
110,2,0,11.3,9.188260876304856
110,2,6,13.91304347826087,8.73252731161385
110,2,7,10.333333333333334,7.0381980566092315
110,2,9,9.695652173913043,6.580506747485974
110,2,10,11.166666666666666,7.428889943800583
110,2,12,13.777777777777779,9.310985148975615
110,2,13,13.226190476190476,8.847232486042
