service,avg_eta_drift,drift_variability,avg_volatility
851e,0.9836734693877551,22.342521275409386,20.15918367346939
518,0.9344530929946743,20.333767365758526,18.473986071282262
255,0.9132075471698113,16.913359426921225,14.576100628930817
192,0.9099056603773585,18.621712830977252,16.577830188679247
253,0.9039408866995073,17.021872756675943,15.334975369458128
40,0.8862629246676514,20.527966346737976,18.821270310192023
19,0.8842620943049602,15.716177610544058,13.408450704225352
230M,0.8836477987421384,18.595367199622924,16.852201257861637
137,0.8729576525508503,19.422075334407605,17.590530176725576
143M,0.8674568965517241,19.241571578357213,17.251077586206897
247,0.863406408094435,18.25959241806884,16.345137717819
903M,0.8571428571428571,6.1169164345008555,5.510204081632653
194,0.8571428571428571,18.614809998921864,16.764705882352942
167,0.8547892720306514,23.1332232859824,21.001149425287355
150,0.8547854785478548,22.18640865772237,20.82838283828383
254,0.8488593155893536,18.47046060518849,16.33555133079848
506,0.8480243161094225,22.265949559370476,20.775075987841944
859A,0.8423529411764706,20.637164088615027,18.376470588235293
178,0.8419063615368465,20.231171114081782,18.35691790888096
141,0.8381171067738232,20.583899691090693,18.931113662456944
63M,0.8349673202614379,20.108793701669384,18.36437908496732
35,0.8343337334933973,18.286815410421635,16.17406962785114
384,0.8336886993603412,17.874743899818018,15.50319829424307
502,0.8308605341246291,20.657774428523123,18.977532852903774
913M,0.8254950495049505,21.9989409118169,20.620049504950494
22,0.8112788632326821,18.274485391150172,16.213587921847246
146,0.8085399449035813,19.296967317648704,17.411845730027547
269A,0.8076923076923077,21.027637491205198,19.884615384615383
200,0.806680881307747,20.30306329674567,18.59772565742715
107,0.798941798941799,18.66821860248488,16.457431457431458
64,0.7887856897144823,19.17900530435243,17.200206398348815
199,0.7860851505711319,14.67067214358323,12.597092419522326
912,0.7793047696038804,20.270755278997093,17.81083265966047
257,0.776840490797546,17.48500202800332,15.212423312883436
71,0.7708737864077669,20.47263574449261,18.92233009708738
83,0.7664442326024785,18.51690425435808,16.449952335557676
127,0.7619738751814223,19.822136575650344,17.9288824383164
18,0.7587844254510921,20.508262195616357,18.961063627730294
114,0.7564102564102564,17.81667995915596,15.428205128205128
120,0.7547169811320755,19.541408454961193,17.74882075471698
169B,0.75,15.545864821343272,14.5
871,0.7483108108108109,18.55957282977994,16.49268018018018
93,0.747821034282394,19.29006704549045,17.43579314352121
16,0.74762072611914,18.355708946560842,16.218188227000354
56,0.7472222222222222,20.275259585437396,18.635
175,0.7447765141496958,20.00509663457718,18.384025390108437
307T,0.7404129793510325,19.37722358625672,17.57227138643068
246,0.7399605003291639,19.008462930390788,17.196840026333113
258,0.7372413793103448,17.631354391287257,15.915172413793103
14,0.7312367354813815,19.52528377361226,17.32973181555084
993,0.727710843373494,20.33478728101913,18.93975903614458
9,0.7253545485991006,15.398713956902405,12.736423382912488
143,0.7246236974141258,18.314364586460332,16.210922423774605
2,0.7176642946839682,18.78823366716278,16.53767266638761
148,0.7151515151515152,19.048671750884573,17.216161616161617
37,0.7128279883381924,15.311482600847715,12.849854227405247
183,0.7104571728849185,17.818566002221694,15.139253809774042
138,0.7099856665074057,19.914431689891213,18.07548972766364
123,0.7099612812390004,19.280463439872154,17.19288982752552
251,0.7084130019120459,16.672185987836098,14.496175908221797
30,0.708234434909622,18.393434604892597,16.29085265656381
53M,0.7074829931972789,14.99846081310721,13.395918367346939
140,0.7063655030800822,19.231964777482933,17.694045174537987
132,0.7038472183780792,20.17767916731475,18.362856352062
153,0.7008740692780835,18.93727380753793,17.071220459695695
21X,0.7,14.195561048735346,11.638461538461538
123M,0.7,17.957104364934366,16.031764705882352
42,0.6945169712793734,17.990357510654132,16.449086161879894
165,0.6944980694980695,19.215216148487958,17.40299227799228
307A,0.6927480916030534,18.848268679221103,16.94083969465649
11,0.6910919540229885,20.847254870616734,19.280172413793103
158,0.6878980891719745,20.04995920060471,18.321201091901727
43,0.6814038286235187,18.504508180757462,16.446672743846854
296,0.6762402088772846,19.10622892550984,17.281984334203656
155,0.6755373592630501,18.210810722609196,16.245138178096212
112,0.6739130434782609,18.57440441134412,16.581382385730212
119,0.6735924932975871,20.349693359238795,18.534182305630026
21,0.668270194427741,17.8399504099048,15.738224093004611
381,0.6679139382600561,17.419991245372113,15.023386342376053
57,0.6674684305472038,18.918568831755223,17.03126879134095
852,0.6651754989676532,21.84687136772288,20.46627666896077
32,0.6649746192893401,20.483479271889625,18.819930537002403
28,0.6572063178677197,18.167891819254617,15.968163869693978
970,0.6571729957805907,19.555138476503494,17.907383966244726
174,0.6566776781500708,17.937751081427837,15.718027371401604
860,0.6546672247802428,19.273141373872377,17.055671829217246
186,0.6543824701195219,20.794779479170042,19.18625498007968
54,0.6504317789291882,18.86008789291187,17.107081174438687
134,0.648910411622276,17.309131659204716,15.409200968523002
20,0.6475988700564972,17.804179281399374,15.75776836158192
48,0.6467633928571429,17.706989671928895,15.674665178571429
185,0.6431666010240252,18.831912841475326,17.1220953131154
122,0.6430138990490124,20.72471365455977,19.184345281638624
855,0.6419270833333334,19.467358014494202,17.607552083333335
7,0.6374740124740125,16.720824827384696,14.857328482328482
139,0.6334056399132321,17.830149578629044,15.950418345212272
382G,0.632688927943761,14.058869687021621,11.943760984182777
156,0.6316699604743083,19.459396309931858,17.548666007905137
104,0.6283315078495801,18.082693353914358,16.113545089448703
72B,0.625,2.648797657854987,2.0625
95,0.6248715313463515,19.601431828866716,17.656731757451183
135,0.6245235069885642,17.157564233245377,15.137865311308767
46,0.6231470923603193,19.898801304142133,18.084948688711517
882,0.6213483146067416,15.792858888775973,13.756179775280899
82,0.6200126662444585,20.503392522770596,18.711209626345788
79,0.6129550321199143,18.801063892110278,16.335653104925054
33,0.6117755289788408,18.63220641693849,16.636614535418584
133,0.6110940851976708,16.960131762562135,14.954949433037083
102,0.6100046317739695,16.61918261295874,14.498842056507643
358,0.608139534883721,12.330288810316482,10.547674418604652
166,0.6061259706643658,18.362000452851376,16.065573770491802
195,0.6057073954983923,17.377385936912248,15.157958199356914
52,0.6054333764553687,18.260495346529872,16.409443725743856
173,0.6042240587695134,18.367363873043068,16.2534435261708
228,0.6024734982332155,16.068077789513957,13.848056537102474
927,0.6024208566108007,18.727337561425628,16.850093109869647
24,0.6004313831221354,15.970406823136674,13.730655163116744
193,0.5970787317420734,19.52961907972099,17.53687210545066
59,0.5969756738987508,18.44880481951954,16.34319526627219
85,0.5967573221757322,17.91260398213867,15.664748953974895
77,0.5947176684881603,19.492980727111043,17.695506982392228
15,0.5910765452312731,15.545243016884859,13.056078591895211
117,0.5882610600087604,19.19966318308051,17.169075777485766
39,0.5877650330205074,17.00998938823557,14.765033020507474
97,0.5863636363636363,19.106909973877798,16.990909090909092
118,0.5828877005347594,14.660509923879392,12.302436125965539
961,0.5806859205776174,17.661666192061723,15.473104693140794
109,0.5786367660076719,18.745533063355552,16.62997934493951
298,0.5777777777777777,16.17917421708569,14.382491582491582
230,0.5765182186234817,19.210459380706634,17.557894736842105
130,0.5762473647224174,19.271649358732233,17.234715390021083
990,0.573134328358209,17.808797308648987,16.08955223880597
125,0.5701239399869537,18.882619961314365,16.82191780821918
976,0.5690909090909091,18.319921979086267,16.314545454545456
129,0.5656795747911921,18.7388061274727,16.577069096431284
197,0.5648666816043021,18.495538191983844,16.409365897378446
960,0.5646453089244852,16.061001293932915,14.197368421052632
58,0.5646050214329456,18.04353140395234,15.935701163502756
69,0.5645695364238411,14.940505143140062,12.45364238410596
111,0.5626134301270418,17.20629100063334,15.189655172413794
31,0.5617749419953596,15.6814166990364,13.588457076566126
65,0.5615679590967192,15.880115717101702,13.777162334895612
12,0.5582597458539738,17.694588069500814,15.265991815636442
26,0.5580749652938455,16.487775516354866,14.3341045812124
5,0.5578338590956887,19.276530062264527,17.05678233438486
75,0.5569032258064516,18.530348788841376,16.41393548387097
70,0.5565548253199585,15.85277750964363,13.179176755447942
317,0.5564648117839607,15.736351649915061,13.826513911620294
105,0.5563480741797432,16.51164792992547,14.466951973371375
62,0.5561652679147837,17.18336152271542,14.547127178825049
45,0.554695388757994,18.45943648343493,16.350723662066645
965,0.5533049040511727,17.441799135174787,15.254797441364605
189,0.549812030075188,15.242454449675384,12.427631578947368
8,0.5497787610619469,15.24997995254509,12.858038348082596
371,0.5483870967741935,15.35699010869447,13.276497695852534
61,0.545826036193812,17.8018358163708,15.66199649737303
980,0.5449401523394994,17.56144427932963,15.318824809575625
41,0.5435103244837758,19.446481253167182,17.770648967551622
106,0.5419391526869491,16.52022465096891,14.381575206141598
60,0.5411140583554377,13.714562965761846,11.671087533156498
23,0.5381222432262129,16.28889648050206,13.944549464398236
36,0.5370196813495782,16.582043613244682,13.84161199625117
110,0.5369886858137511,13.199213298171918,11.22106179286336
47,0.5316686967113277,17.934453975049347,15.865408038976858
963,0.5282964665326055,17.46947635884694,15.009192760700948
168,0.5261472785485592,13.935233048616293,11.60298826040555
386,0.5249343832020997,16.476241256681778,14.333333333333334
160,0.5245411865130175,19.788358623490222,16.860008536064875
307,0.5239567233384853,14.823654236910702,13.125193199381762
113,0.5228571428571429,17.25417203654902,15.37657142857143
53,0.5224913494809689,14.815363985668782,12.44699591066373
145,0.5205707491082046,15.72795506602939,13.585017835909632
121,0.5201021059349075,14.96370911701833,13.067645181876197
3,0.5184563758389261,17.078143022101663,14.764093959731543
975,0.5177349097697573,14.034199581485915,11.797759800871189
10,0.5141162029459901,18.363812077596528,16.078355155482814
972,0.5107724645296899,17.605316703111733,15.003678402522333
851,0.5089263263766658,15.546143533087609,13.323610761880815
181,0.507396449704142,14.538987840757894,12.794378698224852
13,0.5067355186349349,16.964311080123018,14.838123035473732
67,0.5050183208539111,14.91950513630569,12.780946311932452
81,0.5037445802128498,17.36187280047237,15.436342136381553
853,0.5032780563054378,19.30571764656695,17.4473582722715
925A,0.5,0.7071067811865476,0.5
967,0.4990403071017274,19.630019235293904,17.96545105566219
