id,timestamp,bus_stop,service,estimated,eta_seconds,hour,minute,weekday,eta_minutes,prev_eta_minutes,eta_change_minutes
39048,2025-11-16T20:42:40.045Z,1329,145,2025-11-16T12:49:31.000Z,410.954278,20,42,1,6.849237966666666,9.46873065,-2.619492683333333
169,2025-11-16T17:38:08.133Z,1329,32,2025-11-16T09:53:37.000Z,928.866662,17,38,1,15.481111033333333,,
19667,2025-11-16T19:39:40.876Z,1329,32,2025-11-16T11:50:35.000Z,654.123839,19,39,1,10.902063983333333,15.481111033333333,-4.57904705
39051,2025-11-16T20:42:40.045Z,1329,32,2025-11-16T12:57:31.000Z,890.954278,20,42,1,14.849237966666667,10.902063983333333,3.947173983333334
170,2025-11-16T17:38:08.133Z,1329,51,2025-11-16T09:52:07.000Z,838.866662,17,38,1,13.981111033333333,,
19668,2025-11-16T19:39:40.876Z,1329,51,2025-11-16T11:39:55.000Z,14.123839,19,39,1,0.23539731666666666,13.981111033333333,-13.745713716666666
39052,2025-11-16T20:42:40.045Z,1329,51,2025-11-16T12:52:53.000Z,612.954278,20,42,1,10.215904633333334,0.23539731666666666,9.980507316666667
182,2025-11-16T17:38:08.133Z,1339,51,2025-11-16T09:50:46.000Z,757.866662,17,38,1,12.631111033333333,,
19680,2025-11-16T19:39:40.876Z,1339,51,2025-11-16T11:50:02.000Z,621.123839,19,39,1,10.352063983333332,12.631111033333333,-2.279047050000001
39065,2025-11-16T20:42:40.045Z,1339,51,2025-11-16T12:51:39.000Z,538.954278,20,42,1,8.9825713,10.352063983333332,-1.3694926833333323
185,2025-11-16T17:38:08.133Z,1339,7,2025-11-16T09:48:29.000Z,620.866662,17,38,1,10.3477777,,
19683,2025-11-16T19:39:40.876Z,1339,7,2025-11-16T12:01:30.000Z,1309.123839,19,39,1,21.818730650000003,10.3477777,11.470952950000003
39068,2025-11-16T20:42:40.045Z,1339,7,2025-11-16T12:53:15.000Z,634.954278,20,42,1,10.582571300000001,21.818730650000003,-11.236159350000001
186,2025-11-16T17:38:08.133Z,1339,80,2025-11-16T09:39:36.000Z,87.866662,17,38,1,1.4644443666666667,,
19684,2025-11-16T19:39:40.876Z,1339,80,2025-11-16T11:46:17.000Z,396.123839,19,39,1,6.602063983333333,1.4644443666666667,5.137619616666667
39070,2025-11-16T20:42:40.045Z,1339,80,2025-11-16T12:46:04.000Z,203.954278,20,42,1,3.3992379666666666,6.602063983333333,-3.2028260166666667
188,2025-11-16T17:38:08.133Z,1339,980,2025-11-16T09:38:48.000Z,39.866662,17,38,1,0.6644443666666666,,
19686,2025-11-16T19:39:40.876Z,1339,980,2025-11-16T11:43:47.000Z,246.123839,19,39,1,4.102063983333333,0.6644443666666666,3.437619616666667
39072,2025-11-16T20:42:40.045Z,1339,980,2025-11-16T12:46:31.000Z,230.954278,20,42,1,3.8492379666666663,4.102063983333333,-0.25282601666666693
196,2025-11-16T17:38:08.133Z,1419,100,2025-11-16T09:38:17.000Z,8.866662,17,38,1,0.14777769999999998,,
19694,2025-11-16T19:39:40.876Z,1419,100,2025-11-16T12:07:35.000Z,1674.123839,19,39,1,27.902063983333335,0.14777769999999998,27.754286283333336
39080,2025-11-16T20:42:40.045Z,1419,100,2025-11-16T12:50:33.000Z,472.954278,20,42,1,7.8825712999999995,27.902063983333335,-20.019492683333336
198,2025-11-16T17:38:08.133Z,1421,961M,2025-11-16T09:45:55.000Z,466.866662,17,38,1,7.7811110333333335,,
19696,2025-11-16T19:39:40.876Z,1421,961M,2025-11-16T12:04:13.000Z,1472.123839,19,39,1,24.535397316666668,7.7811110333333335,16.754286283333336
39082,2025-11-16T20:42:40.045Z,1421,961M,2025-11-16T13:10:29.000Z,1668.954278,20,42,1,27.815904633333332,24.535397316666668,3.2805073166666645
